Index,Frequency (Hz) ,DFT Cal,DFT Mag,Rz (Ohms),R_real,R_img,R_phase
267,212.48,42.048,326.314,1288.561279,-913.0265,909.2704,3.9249
266,217.44,39.013,266.317,1464.898926,1460.839,108.9884,-0.0745
265,222.51,40.012,188.733,2120.0625,307.1306,2097.6978,-1.4254
264,227.7,39,174.402,2236.214844,1333.5085,-1795.1077,0.9319
263,233.01,41.049,452.482,907.190735,-298.7204,856.5986,4.3768
262,238.44,40.012,298.585,1340.070679,-710.8008,1136.0245,4.1533
261,244,40.012,400.02,1000.262451,-34.9966,999.65,4.6774
260,249.69,41.012,330.72,1240.086426,1065.6816,-634.1427,0.5368
259,255.51,41.012,498.892,822.065918,693.0287,442.1578,-0.5679
258,261.47,41.012,293.155,1398.992188,1396.0902,-90.0629,0.0644
257,267.56,40.012,249.377,1604.496826,1295.7275,946.3087,-0.6308
256,273.8,40.012,416.486,960.715393,916.3444,-288.5951,0.3051
255,280.19,41.012,118.14,3471.498291,-3371.0681,828.9747,3.3827
254,286.72,39.013,404.675,964.052673,505.6118,820.8253,-1.0187
253,293.41,40.05,277.078,1445.442261,1361.4338,-485.5936,0.3426
252,300.25,40.012,494.013,809.947998,-422.2513,-691.1726,2.1192
251,307.25,39.013,488.774,798.177063,791.2097,105.2323,-0.1322
250,314.41,40.05,408.163,981.224915,968.3247,-158.5863,0.1623
249,321.74,40.05,251.857,1590.186157,-418.0852,1534.2415,4.4463
248,329.24,40.012,362.229,1104.618164,1056.5505,322.3077,-0.2961
247,336.92,40.05,273.146,1466.244995,1451.5674,206.9455,-0.1416
246,344.78,40.05,233.452,1715.552246,1487.7064,854.312,-0.5213
245,352.82,39.051,289.36,1349.574829,1321.6449,-273.1431,0.2038
244,361.04,40.05,139.388,2873.273193,2197.7456,-1850.8412,0.6999
243,369.46,40.012,189.18,2115.05127,1552.1528,1436.7544,-0.7468
242,378.07,40.05,162.496,2464.671631,2455.5955,-211.3235,0.0858
241,386.89,40.05,210.376,1903.734009,1413.0779,1275.7014,-0.7344
240,395.91,40.012,426.499,938.162598,701.7554,622.6464,-0.7257
239,405.14,9.055,69.296,1306.760132,816.3266,-1020.4083,0.8961
238,414.59,8.246,153.447,537.397827,500.2973,-196.2117,0.3738
237,424.26,8.062,132.004,610.759583,183.6442,582.4964,-1.2654
236,434.15,9,11.705,7689.219238,-7226.2778,2627.7368,3.4904
235,444.27,8.062,186.762,431.686462,254.5872,348.6238,-0.94
234,454.63,9.055,123.309,734.367981,643.8672,353.1732,-0.5017
233,465.23,7.071,76.538,923.868774,737.4531,556.5038,-0.6465
232,476.08,9.055,98.082,923.250244,825.3639,-413.7215,0.4647
231,487.18,8,21.19,3775.43335,-3563.4741,1247.2167,3.4783
230,498.54,9.055,89.811,1008.272339,218.1999,984.3789,-1.3527
229,510.16,9.055,18.385,4925.47998,3076.9231,3846.1536,-0.8961
228,522.06,8.062,83.57,964.727356,-455.3266,850.5154,4.2209
227,534.23,8,142.864,559.974792,513.4738,223.4198,-0.4104
226,546.69,8.062,80.056,1007.074402,-831.6431,567.9513,3.7408
225,559.43,8.062,170.074,474.045471,404.4944,247.191,-0.5485
224,572.48,8.062,42.19,1910.938477,-415.7308,1865.1686,4.4931
223,585.82,8.062,62.586,1288.189941,130.2018,1281.593,-1.4696
222,599.48,8,55.073,1452.625977,1266.0735,712.166,-0.5124
221,613.46,7.071,38.601,1831.858276,268.4564,1812.0806,-1.4237
220,627.77,8.062,135.665,594.276794,583.5371,-112.4694,0.1904
219,642.4,8.062,69.354,1162.47644,1083.16,-422.0374,0.3715
218,657.38,9.055,160.378,564.628784,508.9226,-244.5473,0.4479
217,672.71,8.062,162.985,494.663574,490.8899,-60.9847,0.1236
216,688.4,8.062,44.911,1795.162354,1700.5453,575.1116,-0.3261
215,704.45,8.062,96.255,837.594788,717.7549,431.7323,-0.5415
214,720.87,8.062,44.181,1824.806274,1782.7869,389.3444,-0.215
213,737.68,8,160.178,499.444305,439.6461,-236.9724,0.4944
212,754.88,9.055,58.412,1550.252441,1318.8745,-814.7715,0.5534
211,772.48,8,118.68,674.0802,-238.5516,630.4579,4.3507
210,790.49,8.062,41.049,1964.068848,-890.2078,-1750.7417,2.0412
209,808.92,6,104.202,575.806213,-513.9067,-259.7164,2.6737
208,827.79,8.544,100.08,853.717651,331.4697,-786.7412,1.172
207,847.09,9.055,147.167,615.31543,614.0919,38.7847,-0.0631
206,866.84,7,183.698,381.059967,149.3555,350.5705,-1.168
205,887.05,8.062,170,474.250458,474.0485,-13.8408,0.0292
204,907.73,8,110.635,723.101501,156.8627,705.8823,-1.3521
203,928.9,6.325,160.256,394.653168,302.1572,253.8743,-0.6988
202,950.56,8,63.695,1255.993652,-473.2561,1163.4211,4.3261
201,972.72,8.062,42.953,1876.974976,991.8699,-1593.4958,1.014
200,995.4,8.062,36.139,2230.925537,-283.3078,-2212.8635,1.6981
199,1018.61,9.055,69.318,1306.352173,1096.7744,709.6773,-0.5743
198,1042.36,8.062,82.462,977.692383,676.4706,705.8823,-0.8067
197,1066.66,8.062,93.648,860.908264,685.2908,521.0946,-0.6501
196,1091.54,8.062,31.765,2538.114014,-2071.3577,-1466.7993,2.5254
195,1116.99,9.22,78.6,1172.966187,765.62,888.637,-0.8596
194,1143.03,8.544,40.497,2109.79126,1695.1218,-1256.0975,0.6377
193,1169.68,9,158.928,566.29541,545.1738,153.2188,-0.274
192,1196.96,8.062,95.047,848.23584,-131.7245,837.9455,4.5565
191,1224.86,8.062,119.641,673.870056,-57.9851,-671.3707,1.657
190,1253.42,8.246,70.803,1164.677246,-742.0707,-897.666,2.2616
189,1282.65,8.246,125.936,654.791199,653.2156,45.3972,-0.0694
188,1312.56,8,118.68,674.0802,647.4974,-187.4335,0.2818
187,1343.16,9.055,44.294,2044.360352,-1681.9572,-1162.0797,2.537
186,1374.48,8.062,159.706,504.818787,179.9577,471.6537,-1.2063
185,1406.53,8.062,70.228,1148.008545,255.4744,1119.2214,-1.3464
184,1439.32,7.071,108.227,653.357605,204.0468,620.6779,-1.2532
183,1472.88,8.246,106.231,776.253662,253.4338,733.7173,-1.2382
182,1507.23,8.062,45.188,1784.139404,543.5847,1699.3143,-1.2612
181,1542.37,8.246,97.021,849.944214,820.1423,223.0957,-0.2656
180,1578.33,8.246,89.894,917.322205,690.5087,603.8856,-0.7186
179,1615.13,6.083,49.396,1231.419312,-631.1476,1057.3771,4.1743
178,1652.79,8,107.205,746.231018,709.9974,229.705,-0.3129
177,1691.33,9.22,57.245,1610.53894,1367.1041,851.3884,-0.557
